LIGHT (lux),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0,14,2020-09-30 12:02:50:981
0.0,64,2020-09-30 12:02:51:031
0.0,114,2020-09-30 12:02:51:081
0.0,163,2020-09-30 12:02:51:130
0.0,214,2020-09-30 12:02:51:181
0.0,263,2020-09-30 12:02:51:230
0.0,313,2020-09-30 12:02:51:280
0.0,363,2020-09-30 12:02:51:330
0.0,413,2020-09-30 12:02:51:380
0.0,463,2020-09-30 12:02:51:430
0.0,513,2020-09-30 12:02:51:480
0.0,563,2020-09-30 12:02:51:530
0.0,613,2020-09-30 12:02:51:580
0.0,664,2020-09-30 12:02:51:631
0.0,714,2020-09-30 12:02:51:681
0.0,763,2020-09-30 12:02:51:730
0.0,813,2020-09-30 12:02:51:780
0.0,864,2020-09-30 12:02:51:831
0.0,913,2020-09-30 12:02:51:880
0.0,964,2020-09-30 12:02:51:931
0.0,1013,2020-09-30 12:02:51:980
0.0,1064,2020-09-30 12:02:52:031
0.0,1113,2020-09-30 12:02:52:080
0.0,1164,2020-09-30 12:02:52:131
0.0,1214,2020-09-30 12:02:52:181
0.0,1263,2020-09-30 12:02:52:230
0.0,1314,2020-09-30 12:02:52:281
3.0,1363,2020-09-30 12:02:52:330
3.0,1414,2020-09-30 12:02:52:381
3.0,1464,2020-09-30 12:02:52:431
3.0,1513,2020-09-30 12:02:52:480
3.0,1564,2020-09-30 12:02:52:531
3.0,1614,2020-09-30 12:02:52:581
0.0,1663,2020-09-30 12:02:52:630
0.0,1714,2020-09-30 12:02:52:681
0.0,1763,2020-09-30 12:02:52:730
0.0,1814,2020-09-30 12:02:52:781
0.0,1864,2020-09-30 12:02:52:831
0.0,1913,2020-09-30 12:02:52:880
0.0,1964,2020-09-30 12:02:52:931
0.0,2013,2020-09-30 12:02:52:980
0.0,2064,2020-09-30 12:02:53:031
0.0,2113,2020-09-30 12:02:53:080
0.0,2164,2020-09-30 12:02:53:131
0.0,2213,2020-09-30 12:02:53:180
0.0,2264,2020-09-30 12:02:53:231
0.0,2313,2020-09-30 12:02:53:280
0.0,2363,2020-09-30 12:02:53:330
0.0,2414,2020-09-30 12:02:53:381
0.0,2464,2020-09-30 12:02:53:431
