LIGHT (lux),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.0,28,2021-01-07 16:54:04:284
3.0,78,2021-01-07 16:54:04:334
3.0,128,2021-01-07 16:54:04:384
3.0,178,2021-01-07 16:54:04:434
0.0,227,2021-01-07 16:54:04:483
0.0,278,2021-01-07 16:54:04:534
0.0,328,2021-01-07 16:54:04:584
0.0,378,2021-01-07 16:54:04:634
0.0,428,2021-01-07 16:54:04:684
0.0,478,2021-01-07 16:54:04:734
0.0,527,2021-01-07 16:54:04:783
0.0,578,2021-01-07 16:54:04:834
0.0,628,2021-01-07 16:54:04:884
0.0,678,2021-01-07 16:54:04:934
0.0,728,2021-01-07 16:54:04:984
0.0,778,2021-01-07 16:54:05:034
0.0,828,2021-01-07 16:54:05:084
0.0,878,2021-01-07 16:54:05:134
3.0,928,2021-01-07 16:54:05:184
3.0,978,2021-01-07 16:54:05:234
3.0,1028,2021-01-07 16:54:05:284
3.0,1078,2021-01-07 16:54:05:334
3.0,1128,2021-01-07 16:54:05:384
3.0,1178,2021-01-07 16:54:05:434
3.0,1228,2021-01-07 16:54:05:484
3.0,1278,2021-01-07 16:54:05:534
3.0,1327,2021-01-07 16:54:05:583
3.0,1378,2021-01-07 16:54:05:634
3.0,1428,2021-01-07 16:54:05:684
3.0,1479,2021-01-07 16:54:05:735
3.0,1527,2021-01-07 16:54:05:783
3.0,1578,2021-01-07 16:54:05:834
3.0,1628,2021-01-07 16:54:05:884
3.0,1678,2021-01-07 16:54:05:934
3.0,1728,2021-01-07 16:54:05:984
3.0,1778,2021-01-07 16:54:06:034
3.0,1828,2021-01-07 16:54:06:084
3.0,1878,2021-01-07 16:54:06:134
3.0,1928,2021-01-07 16:54:06:184
3.0,1978,2021-01-07 16:54:06:234
3.0,2028,2021-01-07 16:54:06:284
3.0,2077,2021-01-07 16:54:06:333
3.0,2128,2021-01-07 16:54:06:384
3.0,2177,2021-01-07 16:54:06:433
3.0,2228,2021-01-07 16:54:06:484
3.0,2278,2021-01-07 16:54:06:534
3.0,2328,2021-01-07 16:54:06:584
3.0,2378,2021-01-07 16:54:06:634
3.0,2428,2021-01-07 16:54:06:684
3.0,2478,2021-01-07 16:54:06:734
3.0,2527,2021-01-07 16:54:06:783
3.0,2577,2021-01-07 16:54:06:833
3.0,2628,2021-01-07 16:54:06:884
3.0,2678,2021-01-07 16:54:06:934
3.0,2728,2021-01-07 16:54:06:984
3.0,2778,2021-01-07 16:54:07:034
3.0,2828,2021-01-07 16:54:07:084
3.0,2878,2021-01-07 16:54:07:134
3.0,2928,2021-01-07 16:54:07:184
3.0,2978,2021-01-07 16:54:07:234
3.0,3027,2021-01-07 16:54:07:283
3.0,3078,2021-01-07 16:54:07:334
3.0,3128,2021-01-07 16:54:07:384
3.0,3178,2021-01-07 16:54:07:434
3.0,3228,2021-01-07 16:54:07:484
3.0,3278,2021-01-07 16:54:07:534
3.0,3328,2021-01-07 16:54:07:584
3.0,3378,2021-01-07 16:54:07:634
3.0,3428,2021-01-07 16:54:07:684
3.0,3477,2021-01-07 16:54:07:733
3.0,3528,2021-01-07 16:54:07:784
3.0,3578,2021-01-07 16:54:07:834
3.0,3628,2021-01-07 16:54:07:884
3.0,3677,2021-01-07 16:54:07:933
3.0,3728,2021-01-07 16:54:07:984
3.0,3778,2021-01-07 16:54:08:034
3.0,3827,2021-01-07 16:54:08:083
3.0,3878,2021-01-07 16:54:08:134
3.0,3928,2021-01-07 16:54:08:184
0.0,3978,2021-01-07 16:54:08:234
0.0,4028,2021-01-07 16:54:08:284
0.0,4078,2021-01-07 16:54:08:334
0.0,4128,2021-01-07 16:54:08:384
0.0,4178,2021-01-07 16:54:08:434
0.0,4228,2021-01-07 16:54:08:484
0.0,4278,2021-01-07 16:54:08:534
0.0,4328,2021-01-07 16:54:08:584
0.0,4378,2021-01-07 16:54:08:634
0.0,4428,2021-01-07 16:54:08:684
0.0,4477,2021-01-07 16:54:08:733
0.0,4527,2021-01-07 16:54:08:783
0.0,4578,2021-01-07 16:54:08:834
0.0,4627,2021-01-07 16:54:08:883
0.0,4678,2021-01-07 16:54:08:934
0.0,4728,2021-01-07 16:54:08:984
0.0,4777,2021-01-07 16:54:09:033
0.0,4827,2021-01-07 16:54:09:083
0.0,4878,2021-01-07 16:54:09:134
0.0,4928,2021-01-07 16:54:09:184
0.0,4978,2021-01-07 16:54:09:234
0.0,5028,2021-01-07 16:54:09:284
0.0,5077,2021-01-07 16:54:09:333
0.0,5128,2021-01-07 16:54:09:384
0.0,5178,2021-01-07 16:54:09:434
0.0,5227,2021-01-07 16:54:09:483
0.0,5278,2021-01-07 16:54:09:534
0.0,5328,2021-01-07 16:54:09:584
0.0,5378,2021-01-07 16:54:09:634
0.0,5428,2021-01-07 16:54:09:684
