LIGHT (lux),Time since start in ms,YYYY-MO-DD HH-MI-SS.SSSS
18.00,0,2022-03-30 20:52:13.5750
18.00,48,2022-03-30 20:52:13.6220
18.00,80,2022-03-30 20:52:13.6540
18.00,102,2022-03-30 20:52:13.6760
18.00,137,2022-03-30 20:52:13.7110
18.00,164,2022-03-30 20:52:13.7390
18.00,198,2022-03-30 20:52:13.7720
18.00,228,2022-03-30 20:52:13.8030
18.00,256,2022-03-30 20:52:13.8310
18.00,281,2022-03-30 20:52:13.8560
18.00,326,2022-03-30 20:52:13.9000
18.00,386,2022-03-30 20:52:13.9610
18.00,432,2022-03-30 20:52:14.0070
18.00,480,2022-03-30 20:52:14.0540
18.00,525,2022-03-30 20:52:14.1000
18.00,552,2022-03-30 20:52:14.1260
18.00,611,2022-03-30 20:52:14.1860
18.00,644,2022-03-30 20:52:14.2180
18.00,683,2022-03-30 20:52:14.2570
18.00,712,2022-03-30 20:52:14.2870
18.00,737,2022-03-30 20:52:14.3120
18.00,771,2022-03-30 20:52:14.3450
18.00,803,2022-03-30 20:52:14.3770
18.00,842,2022-03-30 20:52:14.4160
18.00,882,2022-03-30 20:52:14.4570
18.00,907,2022-03-30 20:52:14.4820
19.00,951,2022-03-30 20:52:14.5250
19.00,996,2022-03-30 20:52:14.5700
19.00,1040,2022-03-30 20:52:14.6150
19.00,1082,2022-03-30 20:52:14.6570
19.00,1112,2022-03-30 20:52:14.6860
19.00,1149,2022-03-30 20:52:14.7240
19.00,1177,2022-03-30 20:52:14.7520
19.00,1206,2022-03-30 20:52:14.7810
19.00,1243,2022-03-30 20:52:14.8170
19.00,1276,2022-03-30 20:52:14.8500
19.00,1310,2022-03-30 20:52:14.8840
19.00,1335,2022-03-30 20:52:14.9100
19.00,1364,2022-03-30 20:52:14.9380
19.00,1394,2022-03-30 20:52:14.9680
19.00,1434,2022-03-30 20:52:15.0090
19.00,1467,2022-03-30 20:52:15.0420
19.00,1492,2022-03-30 20:52:15.0660
19.00,1535,2022-03-30 20:52:15.1100
19.00,1582,2022-03-30 20:52:15.1560
19.00,1624,2022-03-30 20:52:15.1990
19.00,1660,2022-03-30 20:52:15.2340
19.00,1687,2022-03-30 20:52:15.2610
19.00,1724,2022-03-30 20:52:15.2990
19.00,1754,2022-03-30 20:52:15.3280
19.00,1793,2022-03-30 20:52:15.3670
19.00,1839,2022-03-30 20:52:15.4130
19.00,1886,2022-03-30 20:52:15.4600
19.00,1915,2022-03-30 20:52:15.4890
19.00,1950,2022-03-30 20:52:15.5250
19.00,1997,2022-03-30 20:52:15.5720
19.00,2044,2022-03-30 20:52:15.6180
19.00,2092,2022-03-30 20:52:15.6670
19.00,2138,2022-03-30 20:52:15.7130
19.00,2183,2022-03-30 20:52:15.7580
19.00,2229,2022-03-30 20:52:15.8030
19.00,2276,2022-03-30 20:52:15.8500
19.00,2310,2022-03-30 20:52:15.8850
19.00,2337,2022-03-30 20:52:15.9120
19.00,2362,2022-03-30 20:52:15.9370
19.00,2393,2022-03-30 20:52:15.9680
19.00,2422,2022-03-30 20:52:15.9970
19.00,2456,2022-03-30 20:52:16.0300
19.00,2483,2022-03-30 20:52:16.0580
19.00,2528,2022-03-30 20:52:16.1020
19.00,2576,2022-03-30 20:52:16.1510
19.00,2626,2022-03-30 20:52:16.2010
19.00,2685,2022-03-30 20:52:16.2600
19.00,2712,2022-03-30 20:52:16.2870
19.00,2747,2022-03-30 20:52:16.3210
19.00,2778,2022-03-30 20:52:16.3520
19.00,2813,2022-03-30 20:52:16.3880
19.00,2845,2022-03-30 20:52:16.4190
19.00,2873,2022-03-30 20:52:16.4480
19.00,2908,2022-03-30 20:52:16.4820
19.00,2941,2022-03-30 20:52:16.5150
19.00,2986,2022-03-30 20:52:16.5610
19.00,3031,2022-03-30 20:52:16.6060
18.00,3078,2022-03-30 20:52:16.6520
18.00,3124,2022-03-30 20:52:16.6980
18.00,3162,2022-03-30 20:52:16.7360
18.00,3203,2022-03-30 20:52:16.7780
