LIGHT (lux),Time sin`ce start in ms,YYYY-MO-DD HH-MI-SS.SSSS
66.00,1,2022-04-05 14:34:13.8030
66.00,39,2022-04-05 14:34:13.8410
66.00,72,2022-04-05 14:34:13.8750
66.00,105,2022-04-05 14:34:13.9080
66.00,141,2022-04-05 14:34:13.9440
66.00,175,2022-04-05 14:34:13.9780
66.00,205,2022-04-05 14:34:14.0070
66.00,235,2022-04-05 14:34:14.0370
66.00,271,2022-04-05 14:34:14.0740
66.00,308,2022-04-05 14:34:14.1100
66.00,337,2022-04-05 14:34:14.1390
66.00,368,2022-04-05 14:34:14.1700
66.00,397,2022-04-05 14:34:14.2000
66.00,425,2022-04-05 14:34:14.2280
66.00,458,2022-04-05 14:34:14.2600
66.00,487,2022-04-05 14:34:14.2900
66.00,521,2022-04-05 14:34:14.3230
66.00,551,2022-04-05 14:34:14.3540
66.00,585,2022-04-05 14:34:14.3870
66.00,619,2022-04-05 14:34:14.4220
66.00,653,2022-04-05 14:34:14.4550
66.00,683,2022-04-05 14:34:14.4850
66.00,716,2022-04-05 14:34:14.5180
66.00,752,2022-04-05 14:34:14.5540
66.00,784,2022-04-05 14:34:14.5860
66.00,816,2022-04-05 14:34:14.6180
66.00,850,2022-04-05 14:34:14.6520
66.00,882,2022-04-05 14:34:14.6850
66.00,926,2022-04-05 14:34:14.7290
66.00,959,2022-04-05 14:34:14.7620
66.00,996,2022-04-05 14:34:14.7980
66.00,1029,2022-04-05 14:34:14.8310
66.00,1064,2022-04-05 14:34:14.8660
66.00,1100,2022-04-05 14:34:14.9020
66.00,1132,2022-04-05 14:34:14.9350
66.00,1169,2022-04-05 14:34:14.9710
66.00,1202,2022-04-05 14:34:15.0040
66.00,1232,2022-04-05 14:34:15.0340
66.00,1263,2022-04-05 14:34:15.0660
66.00,1302,2022-04-05 14:34:15.1040
66.00,1335,2022-04-05 14:34:15.1370
66.00,1369,2022-04-05 14:34:15.1720
66.00,1405,2022-04-05 14:34:15.2070
66.00,1437,2022-04-05 14:34:15.2390
66.00,1469,2022-04-05 14:34:15.2710
66.00,1502,2022-04-05 14:34:15.3040
66.00,1531,2022-04-05 14:34:15.3340
66.00,1562,2022-04-05 14:34:15.3650
66.00,1596,2022-04-05 14:34:15.3980
66.00,1628,2022-04-05 14:34:15.4300
66.00,1663,2022-04-05 14:34:15.4650
66.00,1695,2022-04-05 14:34:15.4980
66.00,1728,2022-04-05 14:34:15.5300
66.00,1763,2022-04-05 14:34:15.5650
66.00,1818,2022-04-05 14:34:15.6200
66.00,1851,2022-04-05 14:34:15.6530
66.00,1890,2022-04-05 14:34:15.6920
66.00,1920,2022-04-05 14:34:15.7230
66.00,1955,2022-04-05 14:34:15.7570
66.00,1984,2022-04-05 14:34:15.7870
66.00,2015,2022-04-05 14:34:15.8180
66.00,2045,2022-04-05 14:34:15.8470
66.00,2074,2022-04-05 14:34:15.8770
66.00,2106,2022-04-05 14:34:15.9080
66.00,2134,2022-04-05 14:34:15.9360
66.00,2162,2022-04-05 14:34:15.9640
66.00,2190,2022-04-05 14:34:15.9930
66.00,2220,2022-04-05 14:34:16.0230
66.00,2250,2022-04-05 14:34:16.0520
66.00,2282,2022-04-05 14:34:16.0840
66.00,2312,2022-04-05 14:34:16.1150
66.00,2342,2022-04-05 14:34:16.1450
66.00,2380,2022-04-05 14:34:16.1830
66.00,2407,2022-04-05 14:34:16.2100
66.00,2445,2022-04-05 14:34:16.2470
66.00,2480,2022-04-05 14:34:16.2820
66.00,2512,2022-04-05 14:34:16.3150
66.00,2549,2022-04-05 14:34:16.3510
66.00,2583,2022-04-05 14:34:16.3850
66.00,2615,2022-04-05 14:34:16.4180
66.00,2655,2022-04-05 14:34:16.4580
66.00,2691,2022-04-05 14:34:16.4940
66.00,2725,2022-04-05 14:34:16.5270
66.00,2757,2022-04-05 14:34:16.5590
66.00,2788,2022-04-05 14:34:16.5910
65.00,2822,2022-04-05 14:34:16.6250
65.00,2856,2022-04-05 14:34:16.6590
65.00,2892,2022-04-05 14:34:16.6950
65.00,2933,2022-04-05 14:34:16.7350
65.00,2970,2022-04-05 14:34:16.7730
65.00,3003,2022-04-05 14:34:16.8050
65.00,3034,2022-04-05 14:34:16.8370
65.00,3063,2022-04-05 14:34:16.8650
65.00,3091,2022-04-05 14:34:16.8930
65.00,3118,2022-04-05 14:34:16.9210
65.00,3149,2022-04-05 14:34:16.9510
65.00,3180,2022-04-05 14:34:16.9830
65.00,3217,2022-04-05 14:34:17.0190
65.00,3250,2022-04-05 14:34:17.0530
65.00,3285,2022-04-05 14:34:17.0870
65.00,3319,2022-04-05 14:34:17.1210
65.00,3350,2022-04-05 14:34:17.1530
65.00,3384,2022-04-05 14:34:17.1860
65.00,3418,2022-04-05 14:34:17.2210
65.00,3452,2022-04-05 14:34:17.2550
65.00,3486,2022-04-05 14:34:17.2880
65.00,3523,2022-04-05 14:34:17.3250
65.00,3557,2022-04-05 14:34:17.3600
65.00,3589,2022-04-05 14:34:17.3910
65.00,3622,2022-04-05 14:34:17.4240
65.00,3663,2022-04-05 14:34:17.4660
65.00,3698,2022-04-05 14:34:17.5000
65.00,3733,2022-04-05 14:34:17.5350
65.00,3773,2022-04-05 14:34:17.5750
65.00,3802,2022-04-05 14:34:17.6040
65.00,3836,2022-04-05 14:34:17.6380
65.00,3870,2022-04-05 14:34:17.6720
65.00,3904,2022-04-05 14:34:17.7070
65.00,3939,2022-04-05 14:34:17.7420
65.00,3979,2022-04-05 14:34:17.7820
65.00,4013,2022-04-05 14:34:17.8150
65.00,4049,2022-04-05 14:34:17.8520
65.00,4085,2022-04-05 14:34:17.8880
65.00,4119,2022-04-05 14:34:17.9210
65.00,4150,2022-04-05 14:34:17.9530
65.00,4185,2022-04-05 14:34:17.9870
65.00,4219,2022-04-05 14:34:18.0220
66.00,4258,2022-04-05 14:34:18.0610
66.00,4293,2022-04-05 14:34:18.0950
66.00,4323,2022-04-05 14:34:18.1250
66.00,4353,2022-04-05 14:34:18.1550
66.00,4384,2022-04-05 14:34:18.1870
66.00,4425,2022-04-05 14:34:18.2270
66.00,4459,2022-04-05 14:34:18.2620
66.00,4493,2022-04-05 14:34:18.2950
66.00,4527,2022-04-05 14:34:18.3290
66.00,4561,2022-04-05 14:34:18.3640
66.00,4598,2022-04-05 14:34:18.4000
66.00,4633,2022-04-05 14:34:18.4350
66.00,4676,2022-04-05 14:34:18.4790
